Name;Description;;;;;;;;
choice1;If the prey was chosen (1) or not (0) in the first hour;;;;;;;;
order;The order in which that choice was made by the individual (from 1-2) when a choice was made when known;;;;;;;;
size;Average size of the prey (length measured in mm);;;;;;;;
species;Species of prey;;;;;;;;
temp;Temperature conditions where the trial took place (4=4C, 10=10C, and 15=15C);;;;;;;;
lifestage;Lifestage of individual prey (A=adult, J=Juvenile (larva or nymph), P=pupae);;;;;;;;
choice24;If the prey was chosen (1) or not (0) during 24 hours;;;;;;;;
density;The number of meriz in each trial (1,2,5,10,20);;;;;;;;
status24;Whether the prey was consumed (c), partially consumed (pc), or intact (i);;;;;;;;
;;;;;;;;;
trial;species;prey_origin;prey_family;temp;lifestage;choice24;status24;meriz_density;Number of Prey
93;CALYCO;native;diptera;4;j;1;pc;1;2
94;MICRO;native;clitellata;4;NA;1;c;1;2
95;CALYCO;native;diptera;4;j;0;i;1;2
96;FUCEL;invasive;diptera;4;j;1;c;1;2
97;CALYCO;native;diptera;4;j;1;c;1;2
98;FUCEL;invasive;diptera;4;j;1;c;1;2
99;CALYCO;native;diptera;4;j;1;c;2;2
100;FUCEL;invasive;diptera;4;j;1;c;2;2
101;FUCEL;invasive;diptera;4;j;1;pc;2;2
102;MICRO;native;clitellata;4;NA;1;c;2;2
103;FUCEL;invasive;diptera;4;j;0;i;2;2
104;MICRO;native;clitellata;4;NA;1;c;2;2
105;CALYCO;native;diptera;4;j;1;c;2;2
106;FUCEL;invasive;diptera;4;j;0;i;2;2
107;CALYCO;native;diptera;4;j;1;c;2;2
108;MICRO;native;clitellata;4;NA;1;c;2;2
109;CALYCO;native;diptera;4;j;1;c;2;2
110;MICRO;native;clitellata;4;NA;1;c;2;2
111;ANATA;native;diptera;4;j;1;c;2;2
112;CALYCO;native;diptera;4;j;1;c;2;2
113;ANATA;native;diptera;4;j;1;c;2;2
114;CALYCO;native;diptera;4;j;1;c;2;2
115;ANATA;native;diptera;4;j;0;i;2;2
116;FUCEL;invasive;diptera;4;j;1;pc;2;2
117;ANATA;native;diptera;4;j;1;c;2;2
118;FUCEL;invasive;diptera;4;j;1;c;2;2
119;CALYCO;native;diptera;4;j;1;c;5;2
120;FUCEL;invasive;diptera;4;j;1;c;5;2
121;CALYCO;native;diptera;4;a;0;i;5;2
122;CALYCO;native;diptera;4;j;1;c;5;2
123;ANATA;native;diptera;4;j;1;c;5;2
124;MICRO;native;clitellata;4;NA;1;c;5;2
125;ANATA;native;diptera;4;j;1;c;5;2
126;MICRO;native;clitellata;4;NA;1;c;5;2
127;CALYCO;native;diptera;4;j;1;c;5;2
128;FUCEL;invasive;diptera;4;p;0;i;5;2
129;CALYCO;native;diptera;4;a;1;c;5;2
130;FUCEL;invasive;diptera;4;a;0;i;5;2
131;FUCEL;invasive;diptera;4;j;1;c;5;2
132;PRING;native;lepidoptera;4;j;1;pc;5;2
133;FUCEL;invasive;diptera;4;j;1;c;5;2
134;PRING;native;lepidoptera;4;j;1;pc;5;2
135;CALYCO;native;diptera;4;j;1;c;5;2
136;FUCEL;invasive;diptera;4;j;1;c;5;2
137;CALYCO;native;diptera;4;j;1;c;5;2
138;FUCEL;invasive;diptera;4;j;1;c;5;2
139;CALYCO;native;diptera;4;j;1;c;10;2
140;FUCEL;invasive;diptera;4;j;1;c;10;2
141;CALYCO;native;diptera;4;j;1;c;10;2
142;FUCEL;invasive;diptera;4;j;1;c;10;2
143;CALYCO;native;diptera;4;j;1;c;10;2
144;FUCEL;invasive;diptera;4;j;1;c;10;2
145;CALYCO;native;diptera;4;j;1;c;10;2
146;FUCEL;invasive;diptera;4;j;1;c;10;2
147;FUCEL;invasive;diptera;10;j;1;c;2;2
148;MERIZ;invasive;coleoptera;10;j;0;i;2;2
149;FUCEL;invasive;diptera;10;j;1;c;2;2
150;MERIZ;invasive;coleoptera;10;j;0;i;2;2
151;CALYCO;native;diptera;10;j;0;i;2;2
152;FUCEL;invasive;diptera;10;j;1;c;2;2
153;CALYCO;native;diptera;10;j;0;i;2;2
154;FUCEL;invasive;diptera;10;j;1;c;2;2
155;FUCEL;invasive;diptera;10;j;1;c;5;2
156;PRING;native;lepidoptera;10;j;1;c;5;2
157;FUCEL;invasive;diptera;10;j;1;c;5;2
158;PRING;native;lepidoptera;10;j;1;c;5;2
159;FUCEL;invasive;diptera;10;j;1;c;5;2
160;CALYCO;native;diptera;10;j;1;c;5;2
161;FUCEL;invasive;diptera;10;j;1;c;5;2
162;CALYCO;native;diptera;10;j;1;c;5;2
163;FUCEL;invasive;diptera;10;j;1;c;5;2
164;CALYCO;native;diptera;10;j;1;c;5;2
165;FUCEL;invasive;diptera;10;j;1;c;5;2
166;CALYCO;native;diptera;10;j;1;c;5;2
167;FUCEL;invasive;diptera;10;j;1;c;5;2
168;MICRO;native;clitellata;10;NA;1;c;5;2
169;CALYCO;native;diptera;10;j;1;c;5;2
170;FUCEL;invasive;diptera;10;j;1;c;5;2
171;CALYCO;native;diptera;10;j;1;c;5;2
172;FUCEL;invasive;diptera;10;j;1;c;5;2
173;CALYCO;native;diptera;10;j;1;c;5;2
174;FUCEL;invasive;diptera;10;j;1;c;5;2
175;CALYCO;native;diptera;10;j;1;c;5;2
176;FUCEL;invasive;diptera;10;j;1;c;5;2
177;FUCEL;invasive;diptera;15;j;1;c;5;2
178;PRING;native;lepidoptera;15;j;1;c;5;2
179;FUCEL;invasive;diptera;15;j;1;c;5;2
180;PRING;native;lepidoptera;15;j;1;c;5;2
181;FUCEL;invasive;diptera;15;j;1;c;5;2
182;PRING;native;lepidoptera;15;j;1;c;5;2
183;FUCEL;invasive;diptera;15;j;1;c;5;2
184;PRING;native;lepidoptera;15;j;0;i;5;2
185;PRING;native;lepidoptera;15;j;1;c;20;2
186;CALLI;invasive;diptera;15;j;1;c;20;2
